system:index,area_m2_geo,area_m2_lema,cdl_alf_geo,cdl_alf_lema,cdl_corn_geo,cdl_corn_lema,cdl_grass_geo,cdl_grass_lema,cdl_sorghum_geo,cdl_sorghum_lema,cdl_soy_geo,cdl_soy_lema,cdl_wheat_geo,cdl_wheat_lema,crop_m2_geo,crop_m2_lema,pr_mm_geo,pr_mm_lema,vol_m3_geo,vol_m3_lema,vpa_m_geo,vpa_m_lema,wells_geo,wells_lema,year,.geo
0,2.5529130918466726E8,2.550315875254949E8,2090469.646616259,2002811.2056274414,1.0706356342407084E8,1.153005560141621E8,3.897994255613081E7,4.238159229807655E7,1.5659363450672584E7,1.3719570591432579E7,8573016.19520527,1.5035222300804704E7,4.1433842390231036E7,2.8382995217368215E7,1.7482025510679597E8,1.7444115532939503E8,579.9500255666478,602.5920373167147,2.9642152593600005E7,3.38032850388E7,0.11611109163202296,0.13254548335280533,149,184,2008,
1,2.5529130918466726E8,2.550315875254949E8,1641624.8337021773,1893123.2662583294,1.1644610349520764E8,1.1172047451415394E8,3.9304869631769165E7,4.240511094734438E7,9269919.39505687,7715948.265466788,5474968.472956878,1.7367454505371094E7,4.101903619109294E7,3.784282545016108E7,1.7385165238801655E8,1.7653982600141126E8,666.0147106098207,659.1539296029247,2.15942629944E7,2.697677500080001E7,0.08458675331865526,0.10577817149063233,153,184,2009,
2,2.5529130918466726E8,2.550315875254949E8,2141323.0566607304,2273199.340779144,1.2908831434003541E8,1.2545486381202063E8,3.68971337360208E7,3.819859779431224E7,1.158729623699592E7,7551107.375143373,1.1214309791379683E7,2.475358392233408E7,3.3362883016925402E7,3.00161607516391E7,1.873941264419972E8,1.9004891520191625E8,522.9071004260659,482.5387406142816,2.7328366139999997E7,3.27975917904E7,0.10704777309999135,0.12860207674126367,151,183,2010,
3,2.5529130918466726E8,2.550315875254949E8,795848.1896927179,2273720.8754858878,1.32736420141344E8,1.3522685495598477E8,3.5227189794486254E7,3.868270298649353E7,7136864.408657658,1.0090857942477357E7,8386435.316431383,1.602170693252049E7,3.0611148547075577E7,2.4560245371974334E7,1.7966671660320136E8,1.881733860784428E8,590.4877751293926,610.1299845094667,3.35944322052E7,3.2017724060399994E7,0.13159254152635164,0.12554415071113204,153,179,2011,
4,2.5529130918466726E8,2.550315875254949E8,3177151.2472754386,1776912.653640807,1.1974779795810089E8,1.3369874598664553E8,3.850394089603918E7,4.255324614081026E7,4553609.556408931,6966390.22001283,6143190.706227501,1.103165282019043E7,5.120488174011708E7,3.0392943085025795E7,1.8482663120812985E8,1.8386664476551536E8,319.50587113926906,340.2580308553389,4.34647885044E7,4.133411215679999E7,0.170255652819577,0.16207448088236487,153,177,2012,
5,2.5529130918466726E8,2.550315875254949E8,1117863.078125,2656082.249408318,1.1926331583379912E8,9.984188954286632E7,3.481113388791265E7,3.7423635883986525E7,1.9975711646305107E7,3.3593602957848646E7,9409449.437403062,1.5243855366988838E7,3.54915350953709E7,3.663965130298379E7,1.8525787509100312E8,1.879750814200959E8,423.4893182351675,417.52245756986264,3.74365003788E7,2.4185903152799997E7,0.14664228288210143,0.09483493157639616,153,177,2013,
6,2.5529130918466726E8,2.550315875254949E8,1330597.9363513421,875673.8376247032,1.0969927506726098E8,9.919921058472636E7,4.698974797640358E7,4.912193540921918E7,1.2305558081637273E7,2.4660155350545727E7,3323146.010963829,6187481.726130228,3.811815397658811E7,3.840857790131261E7,1.647767310728015E8,1.693310994003397E8,501.2783798048373,502.0415975233354,3.2849743324800003E7,2.46892246668E7,0.12867552534284607,0.0968084969644471,154,177,2014,
7,2.5529130918466726E8,2.550315875254949E8,672601.2890234854,624148.6065673828,1.1334926140052511E8,9.371422652236547E7,3.3985754403251626E7,3.666494241604531E7,1.4164900760028673E7,2.888928337527406E7,5211881.748978199,1.2343264552670227E7,4.7669468995396264E7,4.65182866561971E7,1.8106811419395182E8,1.8208920971307418E8,583.4816861009314,619.3477276177433,3.1567454521199998E7,2.0517570637199994E7,0.12365267984256133,0.08045109563202206,156,176,2015,
8,2.5529130918466726E8,2.550315875254949E8,490780.93017578125,1695000.0728759766,1.2751996518944211E8,1.223902898148031E8,3.3650087193759575E7,3.552255014988871E7,7882422.860242178,2.1320316766560636E7,6411823.286010742,5730756.683105469,4.604873912244394E7,3.722971064511743E7,1.8835373138831472E8,1.8836607398246258E8,470.20371508451615,558.851018488421,3.34245696744E7,2.3008065435599998E7,0.13092717406303103,0.09021653222975737,153,174,2016,
9,2.5529130918466726E8,2.550315875254949E8,458569.44165613514,626264.3765139112,1.2924355855956714E8,1.294285430389474E8,3.367215916598547E7,3.5525540364624985E7,7840485.758138978,1.2018725530065924E7,1.0220975714994542E7,1.1303441586598596E7,2.9923132707444377E7,2.688049390991498E7,1.7768672218180117E8,1.8025746844204077E8,738.7352450405621,810.0707948124475,0.0,0.0,0.0,0.0,0,0,2017,
