masterid,Year,wimasVol_km3,wimasIrrArea_ha,wtElev_m,wtRelative0_m,wtRelative2012_m,annualChange_m,aimIrr_ha,pr_calendar_mm,pr_JanAug_mm,pr_grow_mm,aridity,totalArea_ha,cropActive_ha,fallow_ha,doubleCropped_ha,nonAg_ha,irrigated_ha,rainfed_ha,Alfalfa_irrigated_ha,Alfalfa_rainfed_ha,Corn_irrigated_ha,Corn_rainfed_ha,Sorghum_irrigated_ha,Sorghum_rainfed_ha,Soybeans_irrigated_ha,Soybeans_rainfed_ha,WinterWheat_irrigated_ha,WinterWheat_rainfed_ha,cornPriceAdj2017
null_geo9,1996,29.554045117199998,9035.019636,888.7024711744319,0,4.62446744719432,NA,NA,587.0533830923966,568.5550340949246,521.0487654073219,0.6334310522406942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.55
sheridan,1996,31.77876198,9688.182840000001,831.9224911354056,0,6.599115473460415,NA,NA,618.6022502335071,589.799723799783,535.9065445326531,0.6593083194548673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.55
null_geo9,1997,30.6698881296,9096.127222000001,888.8683194643883,0.1658482899563296,4.7903157371506495,0.1658482899563296,NA,513.9766305926642,434.00333467097596,384.4756372128538,0.42785344773755374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6
sheridan,1997,30.2408221116,9860.579076,832.4202118551833,0.4977207197777034,7.0968361932381185,0.4977207197777034,NA,528.0532474746718,437.43597659246274,380.76768493821663,0.4273201815816759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6
null_geo9,1998,30.592561268399997,8996.16978,888.4933347231773,-0.2091364512546079,4.415330995939712,-0.3749847412109375,NA,532.9752249639395,475.8292834574367,366.3670023410539,0.39402466364174143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2
sheridan,1998,29.4432662784,9960.536518,831.8296249482577,-0.09286618714793349,6.506249286312482,-0.5905869069256369,NA,546.0226058439323,482.0761484583824,351.32000099546883,0.3772472024163869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2
null_geo9,1999,24.6987594672,8920.493498000002,888.4641687517335,-0.23830242269843893,4.386165024495881,-0.02916597144383104,7915.3991533031985,546.0100708080929,537.7726565405743,423.1356649952173,0.46976317871626333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89
sheridan,1999,26.3276191464,9944.753764000001,832.1406092988733,0.2181181634676932,6.817233636928108,0.3109843506156267,8900.822892558186,547.3353641360312,539.3086115167906,418.7604423164881,0.46627961112458594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89
null_geo9,2e3,41.987424838799996,9226.840800000002,887.7732586380998,-0.929212536332102,3.695254910862218,-0.6909101136336631,7062.646881461661,423.40856833940137,320.87683553176197,194.54652373794428,0.19100705609130775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.86
sheridan,2e3,40.7752347036,9799.066804,831.1413781336832,-0.7811130017223604,5.818002471738055,-0.9992311651900536,7831.484537966404,442.83207635897986,344.2993892793927,200.9084716730296,0.1963215263023689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.86
null_geo9,2001,35.7029429172,9102.197512,887.5173919647638,-1.1850792096681744,3.4393882375261455,-0.2558666733360724,7840.569224435413,521.181165597854,489.72022389357903,369.60889273035116,0.38549988220365344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89
sheridan,2001,36.287106710399996,9954.870914000001,831.1868948375409,-0.7355962978647312,5.863519175595684,0.04551670385762918,8911.145928804764,551.4605792972011,523.8434600272807,401.3743744567683,0.41853422247427585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89
null_geo9,2002,43.0824097044,8958.533982,886.9335348667242,-1.7689363077076905,2.8555311394866294,-0.5838570980395161,6626.756372779493,304.02167881797266,272.33919913689545,230.66794231877543,0.21658254381681663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.13
sheridan,2002,44.527641216,10186.755992,830.15437442905,-1.7681167063556131,4.830998767104802,-1.032520408490882,7323.807714586925,298.2586038285261,265.7627749639313,223.41171342151142,0.20934073437090275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.13
null_geo9,2003,37.9330994268,9041.899298,886.518848878157,-2.1836222962749616,2.4408451509193583,-0.4146859885672711,6019.83703852879,379.3437608342033,368.71518879993454,257.2621805387017,0.26338708136518746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.27
