masterid,Year,wtElev_m,wtRelative0_m,wtRelative2012_m,annualChange_m
null_geo9,1996,888.7024711744319,0,4.62446744719432,NA
null_geo9,1997,888.8683194643883,0.1658482899563296,4.7903157371506495,0.1658482899563296
null_geo9,1998,888.4933347231773,-0.2091364512546079,4.415330995939712,-0.3749847412109375
null_geo9,1999,888.4641687517335,-0.23830242269843893,4.386165024495881,-0.02916597144383104
null_geo9,2e3,887.7732586380998,-0.929212536332102,3.695254910862218,-0.6909101136336631
null_geo9,2001,887.5173919647638,-1.1850792096681744,3.4393882375261455,-0.2558666733360724
null_geo9,2002,886.9335348667242,-1.7689363077076905,2.8555311394866294,-0.5838570980395161
null_geo9,2003,886.518848878157,-2.1836222962749616,2.4408451509193583,-0.4146859885672711
null_geo9,2004,885.9970783481937,-2.705392826238267,1.919074620956053,-0.5217705299633053
null_geo9,2005,885.7524982279339,-2.9499729464980646,1.6744945006962553,-0.2445801202597977
null_geo9,2006,885.7254798031418,-2.9769913712901825,1.6474760759041374,-0.027018424792117912
null_geo9,2007,885.1508513381025,-3.5516198363294507,1.0728476108648692,-0.5746284650392681
null_geo9,2008,884.957208772618,-3.7452624018139886,0.8792050453803313,-0.19364256548453795
null_geo9,2009,884.9705336079795,-3.731937566452416,0.892529880741904,0.013324835361572696
null_geo9,2010,884.7731827955979,-3.9292883788340305,0.6951790683602894,-0.19735081238161456
null_geo9,2011,884.5054748354579,-4.1969963389740315,0.42747110822028844,-0.267707960140001
null_geo9,2012,884.0780037272376,-4.62446744719432,0,-0.42747110822028844
null_geo9,2013,883.6487994523209,-5.053671722111062,-0.4292042749167422,-0.4292042749167422
null_geo9,2014,883.4333623400806,-5.2691088343513,-0.6446413871569803,-0.2154371122402381
null_geo9,2015,883.194483363887,-5.5079878105449325,-0.8835203633506126,-0.2388789761936323
null_geo9,2016,882.7871650078828,-5.915306166549158,-1.2908387193548378,-0.4073183560042253
null_geo9,2017,882.5949371307794,-6.107534043652549,-1.4830665964582295,-0.19222787710339162
sheridan,1996,831.9224911354056,0,6.599115473460415,NA
sheridan,1997,832.4202118551833,0.4977207197777034,7.0968361932381185,0.4977207197777034
sheridan,1998,831.8296249482577,-0.09286618714793349,6.506249286312482,-0.5905869069256369
sheridan,1999,832.1406092988733,0.2181181634676932,6.817233636928108,0.3109843506156267
sheridan,2e3,831.1413781336832,-0.7811130017223604,5.818002471738055,-0.9992311651900536
sheridan,2001,831.1868948375409,-0.7355962978647312,5.863519175595684,0.04551670385762918
sheridan,2002,830.15437442905,-1.7681167063556131,4.830998767104802,-1.032520408490882
sheridan,2003,829.0097262383669,-2.9127648970387554,3.6863505764216598,-1.1446481906831423
sheridan,2004,828.4423274719759,-3.480163663429721,3.118951810030694,-0.5673987663909656
sheridan,2005,827.8978200264303,-4.024671108975326,2.574444364485089,-0.5445074455456052
sheridan,2006,827.5039525504815,-4.418538584924136,2.1805768885362795,-0.39386747594880944
sheridan,2007,827.3220932991874,-4.600397836218235,1.99871763724218,-0.18185925129409952
sheridan,2008,826.701349479127,-5.221141656278633,1.3779738171817826,-0.6207438200603974
sheridan,2009,826.4255351318657,-5.496956003539935,1.1021594699204798,-0.27581434726130283
sheridan,2010,826.1054873504825,-5.817003784923145,0.7821116885372703,-0.32004778138320944
sheridan,2011,825.4980919116598,-6.424399223745809,0.17471624971460642,-0.6073954388226639
sheridan,2012,825.3233756619452,-6.599115473460415,0,-0.17471624971460642
sheridan,2013,824.6879607596728,-7.234530375732788,-0.6354149022723732,-0.6354149022723732
sheridan,2014,824.3938319253864,-7.528659210019214,-0.9295437365587986,-0.29412883428642544
sheridan,2015,824.6159340861944,-7.306557049211165,-0.7074415757507495,0.22210216080804912
sheridan,2016,824.478320282763,-7.444170852642628,-0.8450553791822131,-0.13761380343146357
sheridan,2017,824.5122393404813,-7.4102517949243065,-0.8111363214638914,0.03391905771832171
