masterid,year,crop,volume_m3,area_m2,depth_m,system
sheridan,1996,23,141270.4644,635357.02,0.222348688,6
null_geo9,1996,2,163707.4656,493716.92,0.331582426,4
sheridan,1996,24,205633.4508,501810.64,0.409783935,3
sheridan,1996,2,208618.4724,542279.24,0.384707642,4
sheridan,1996,2,95397.3432,485623.2,0.1964436,4
sheridan,1996,2,158206.1448,505857.5,0.312749184,4
sheridan,1996,2,170059.8876,607029,0.28015184,4
null_geo9,1996,2,147302.1816,323748.8,0.4549902,1
sheridan,1996,2,202426.4028,485623.2,0.4168394,4
null_geo9,1996,2,109853.7288,477529.48,0.230046508,3
null_geo9,1996,24,172798.2132,1052183.6,0.164228585,3
null_geo9,1996,26,177152.3976,501810.64,0.353027226,3
null_geo9,1996,2,341686.2948,1011715,0.337730592,3
null_geo9,1996,2,153851.9604,477529.48,0.322183932,3
sheridan,1996,2,153309.2292,493716.92,0.310521246,3
null_geo9,1996,2,144674.8692,404686,0.35749992,3
sheridan,1996,2,132586.7652,930777.8,0.142447617,4
null_geo9,1996,2,187291.6032,230671.02,0.811944421,3
sheridan,1996,2,138149.76,542279.24,0.254758209,2
sheridan,1996,2,157503.0612,485623.2,0.3243326,3
sheridan,1996,24,166939.1832,501810.64,0.332674452,3
sheridan,1996,23,280777.0524,566560.4,0.495583029,6
null_geo9,1996,2,172526.8476,485623.2,0.3552698,3
sheridan,1996,2,230845.782,607029,0.3802888,5
sheridan,1996,2,153790.2864,493716.92,0.311495607,4
null_geo9,1996,2,318879.2496,505857.5,0.630375168,3
null_geo9,1996,2,133067.8224,485623.2,0.2740152,4
sheridan,1996,2,138433.4604,501810.64,0.275868581,3
null_geo9,1996,2,142886.3232,343983.1,0.415388612,3
null_geo9,1996,2,156627.2904,485623.2,0.3225292,3
null_geo9,1996,2,183011.4276,485623.2,0.3768598,3
sheridan,1996,2,316153.2588,1068371.04,0.295921545,3
null_geo9,1996,48,507934.7292,1930352.22,0.26313122,6
